source	strength	band	n	measure	auroc	cliffs_delta
go-siblings	weak	0.15 < J <= 1	73	jaccard	0.5389	0.0779
go-siblings	weak	0.05 < J <= 0.15	147	jaccard	0.5485	0.0971
go-siblings	weak	0.01 < J <= 0.05	335	jaccard	0.5861	0.1722
go-siblings	weak	0 < J <= 0.01	203	jaccard	0.5765	0.1531
go-siblings	weak	exactly 0	482	jaccard	0.5000	0.0000
go-siblings	weak	0.15 < J <= 1	73	ochiai	0.5056	0.0112
go-siblings	weak	0.05 < J <= 0.15	147	ochiai	0.5767	0.1535
go-siblings	weak	0.01 < J <= 0.05	335	ochiai	0.6526	0.3052
go-siblings	weak	0 < J <= 0.01	203	ochiai	0.6951	0.3903
go-siblings	weak	exactly 0	482	ochiai	0.5000	0.0000
go-siblings	weak	0.15 < J <= 1	73	overlap	0.4186	-0.1627
go-siblings	weak	0.05 < J <= 0.15	147	overlap	0.5674	0.1347
go-siblings	weak	0.01 < J <= 0.05	335	overlap	0.6551	0.3102
go-siblings	weak	0 < J <= 0.01	203	overlap	0.6857	0.3713
go-siblings	weak	exactly 0	482	overlap	0.5000	0.0000
go-siblings	weak	0.15 < J <= 1	73	kappa	0.5326	0.0652
go-siblings	weak	0.05 < J <= 0.15	147	kappa	0.5383	0.0767
go-siblings	weak	0.01 < J <= 0.05	335	kappa	0.5924	0.1849
go-siblings	weak	0 < J <= 0.01	203	kappa	0.6250	0.2499
go-siblings	weak	exactly 0	482	kappa	0.4487	-0.1027
go-siblings (fan-out<=6)	weak	0.15 < J <= 1	31	descriptions	0.8301	0.6602
go-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	26	descriptions	0.9195	0.8391
go-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	30	descriptions	0.9577	0.9153
go-siblings (fan-out<=6)	weak	exactly 0	18	descriptions	0.9765	0.9531
go-siblings (fan-out<=6)	weak	0.15 < J <= 1	31	name-stripped	0.7800	0.5599
go-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	26	name-stripped	0.8353	0.6706
go-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	30	name-stripped	0.9174	0.8348
go-siblings (fan-out<=6)	weak	exactly 0	18	name-stripped	0.9570	0.9140
go-siblings (fan-out<=6)	weak	0.15 < J <= 1	31	jaccard	0.6094	0.2188
go-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	26	jaccard	0.6657	0.3314
go-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	30	jaccard	0.7970	0.5939
go-siblings (fan-out<=6)	weak	exactly 0	18	jaccard	0.5000	0.0000
go-siblings (fan-out<=6)	weak	0.15 < J <= 1	31	ochiai	0.5562	0.1124
go-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	26	ochiai	0.6578	0.3155
go-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	30	ochiai	0.7931	0.5863
go-siblings (fan-out<=6)	weak	exactly 0	18	ochiai	0.5000	0.0000
go-siblings (fan-out<=6)	weak	0.15 < J <= 1	31	overlap	0.4015	-0.1970
go-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	26	overlap	0.5650	0.1299
go-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	30	overlap	0.6952	0.3903
go-siblings (fan-out<=6)	weak	exactly 0	18	overlap	0.5000	0.0000
go-siblings (fan-out<=6)	weak	0.15 < J <= 1	31	kappa	0.6141	0.2282
go-siblings (fan-out<=6)	weak	0.05 < J <= 0.15	26	kappa	0.7032	0.4064
go-siblings (fan-out<=6)	weak	0.01 < J <= 0.05	30	kappa	0.8156	0.6312
go-siblings (fan-out<=6)	weak	exactly 0	18	kappa	0.6453	0.2907
