key	source	name	k10	k25	k50	k100	k200	provenance
go:GO:1901654	go	response to ketone	6	16	35	74	152	
go:GO:1901655	go	cellular response to ketone	6	16	35	74	152	
go:GO:1901659	go	glycosyl compound biosynthetic process	6	16	35	74	152	
go:GO:1901679	go	nucleotide transmembrane transport	6	16	35	76	161	
go:GO:1901722	go	obsolete regulation of cell proliferation involved in kidney development	6	20	43	89	185	
go:GO:1901858	go	regulation of mitochondrial DNA metabolic process	6	16	35	76	161	
go:GO:1901874	go	negative regulation of post-translational protein modification	6	15	26	43	85	
go:GO:1901950	go	dense core granule transport	6	16	31	52	106	
go:GO:1902045	go	negative regulation of Fas signaling pathway	6	10	15	24	46	
go:GO:1902075	go	cellular response to salt	6	20	44	91	189	
go:GO:1902080	go	regulation of calcium ion import into sarcoplasmic reticulum	6	15	27	44	88	
go:GO:1902165	go	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	6	16	33	59	124	
go:GO:1902170	go	cellular response to reactive nitrogen species	6	16	34	73	149	
go:GO:1902230	go	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	6	15	26	43	85	
go:GO:1902231	go	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage	6	15	26	43	85	
go:GO:1902237	go	positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	6	16	33	64	133	
go:GO:1902255	go	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	6	16	33	59	124	
go:GO:1902275	go	regulation of chromatin organization	6	16	33	69	144	
go:GO:1902292	go	cell cycle DNA replication initiation	6	16	33	69	140	
go:GO:1902410	go	mitotic cytokinetic process	6	16	33	61	126	
go:GO:1902423	go	regulation of attachment of mitotic spindle microtubules to kinetochore	6	16	33	61	126	
go:GO:1902425	go	positive regulation of attachment of mitotic spindle microtubules to kinetochore	6	16	33	61	126	
go:GO:1902475	go	L-alpha-amino acid transmembrane transport	2	4	6	9	18	
go:GO:1902513	go	regulation of organelle transport along microtubule	6	16	31	52	106	
go:GO:1902533	go	positive regulation of intracellular signal transduction	6	16	33	59	124	
go:GO:1902683	go	regulation of receptor localization to synapse	6	17	40	85	178	
go:GO:1902746	go	regulation of lens fiber cell differentiation	5	8	11	18	35	
go:GO:1902747	go	negative regulation of lens fiber cell differentiation	5	8	11	18	35	
go:GO:1902951	go	negative regulation of dendritic spine maintenance	6	17	40	84	174	
go:GO:1902956	go	regulation of mitochondrial electron transport, NADH to ubiquinone	6	16	35	76	161	
go:GO:1902992	go	negative regulation of amyloid precursor protein catabolic process	6	15	26	43	83	
go:GO:1902993	go	positive regulation of amyloid precursor protein catabolic process	6	15	26	43	83	
go:GO:1902996	go	regulation of neurofibrillary tangle assembly	6	17	40	84	174	
go:GO:1903027	go	regulation of opsonization	6	10	15	24	48	
go:GO:1903038	go	negative regulation of leukocyte cell-cell adhesion	6	10	15	24	46	
go:GO:1903051	go	obsolete negative regulation of proteolysis involved in protein catabolic process	6	15	26	43	85	
go:GO:1903053	go	regulation of extracellular matrix organization	6	14	23	37	69	
go:GO:1903054	go	negative regulation of extracellular matrix organization	6	14	23	37	69	
go:GO:1903076	go	regulation of protein localization to plasma membrane	6	16	31	51	103	
go:GO:1903146	go	regulation of autophagy of mitochondrion	6	16	35	76	161	
go:GO:1903147	go	negative regulation of autophagy of mitochondrion	6	16	35	76	161	
go:GO:1903169	go	regulation of calcium ion transmembrane transport	6	15	27	44	88	
go:GO:1903241	go	U2-type prespliceosome assembly	6	16	33	63	131	
go:GO:1903294	go	regulation of glutamate secretion, neurotransmission	6	17	40	85	178	
go:GO:1903306	go	negative regulation of regulated secretory pathway	6	15	26	43	84	
go:GO:1903327	go	negative regulation of tRNA metabolic process	6	15	26	43	86	
go:GO:1903444	go	negative regulation of brown fat cell differentiation	2	4	7	10	20	
go:GO:1903564	go	regulation of protein localization to cilium	6	16	33	60	125	
go:GO:1903573	go	negative regulation of response to endoplasmic reticulum stress	6	16	33	64	133	
go:GO:1903689	go	regulation of wound healing, spreading of epidermal cells	6	14	23	38	74	
go:GO:1903698	go	positive regulation of microvillus assembly	6	16	31	49	98	
go:GO:1903722	go	regulation of centriole elongation	6	16	33	69	144	
go:GO:1903726	go	negative regulation of phospholipid metabolic process	6	15	26	43	86	
go:GO:1903799	go	negative regulation of miRNA processing	6	16	33	68	139	
go:GO:1903859	go	regulation of dendrite extension	6	17	40	84	174	
go:GO:1903894	go	regulation of IRE1-mediated unfolded protein response	6	16	33	64	133	
go:GO:1903897	go	regulation of PERK-mediated unfolded protein response	6	16	33	64	133	
go:GO:1903898	go	negative regulation of PERK-mediated unfolded protein response	6	16	33	64	133	
go:GO:1904018	go	positive regulation of vasculature development	6	14	23	37	72	
go:GO:1904045	go	cellular response to aldosterone	6	20	44	90	186	
go:GO:1904178	go	negative regulation of adipose tissue development	2	4	7	10	20	
go:GO:1904179	go	positive regulation of adipose tissue development	2	4	7	10	20	
go:GO:1904181	go	positive regulation of membrane depolarization	6	15	27	44	87	
go:GO:1904293	go	negative regulation of ERAD pathway	6	16	33	64	133	
go:GO:1904321	go	response to forskolin	6	16	32	55	114	
go:GO:1904356	go	regulation of telomere maintenance via telomere lengthening	6	16	33	61	127	
go:GO:1904357	go	negative regulation of telomere maintenance via telomere lengthening	6	16	33	61	127	
go:GO:1904385	go	cellular response to angiotensin	6	20	44	90	186	
go:GO:1904417	go	positive regulation of xenophagy	6	10	15	24	48	
go:GO:1904427	go	positive regulation of calcium ion transmembrane transport	6	15	27	44	88	
go:GO:1904478	go	regulation of intestinal absorption	2	4	6	9	17	
go:GO:1904636	go	response to ionomycin	6	15	27	44	88	
go:GO:1904668	go	positive regulation of ubiquitin protein ligase activity	6	16	33	69	144	
go:GO:1904673	go	negative regulation of somatic stem cell population maintenance	6	20	43	89	185	
